Date,ND confirmed,NE confirmed,ND deaths,NE deaths
06-08-2020,7177,27341,109,336
07-08-2020,7327,27676,110,341
08-08-2020,7508,27964,112,346
09-08-2020,7596,28108,112,346
10-08-2020,7713,28298,113,346
11-08-2020,7885,28543,118,349
12-08-2020,7970,28878,120,352
13-08-2020,8171,29076,120,357
14-08-2020,8322,29507,121,361
15-08-2020,8444,29829,121,362
16-08-2020,8587,30088,125,362
17-08-2020,8647,30220,126,362
18-08-2020,8782,30406,128,362
19-08-2020,8968,30664,130,369
20-08-2020,9242,30864,130,372
21-08-2020,9474,31184,132,374
22-08-2020,9736,31612,135,377
23-08-2020,9876,31715,136,379
24-08-2020,10000,31881,137,383
25-08-2020,10229,32200,138,383
26-08-2020,10467,32571,138,385
27-08-2020,10800,32969,139,390
28-08-2020,11110,33313,139,391
29-08-2020,11484,33633,141,392
30-08-2020,11484,33923,142,392
31-08-2020,11816,34157,143,397
01-09-2020,12000,34439,145,400
02-09-2020,12267,34846,148,400
03-09-2020,12629,35315,150,404
04-09-2020,12973,35522,150,404
05-09-2020,13334,35666,155,404
06-09-2020,13631,35743,156,404
07-09-2020,13801,35834,156,404
08-09-2020,13872,36328,156,407
09-09-2020,14110,36770,157,422
10-09-2020,14443,37218,160,428
11-09-2020,14684,37696,164,435
12-09-2020,15151,37965,167,435
13-09-2020,15577,38044,168,435
14-09-2020,15831,38484,170,436
15-09-2020,16064,38812,172,437
16-09-2020,16333,39251,172,440
17-09-2020,16723,39739,182,443
18-09-2020,17230,40197,184,443
19-09-2020,17607,40605,192,443
20-09-2020,17958,40889,192,443
21-09-2020,18244,41167,193,451
22-09-2020,18508,41538,196,460
23-09-2020,18981,42034,203,463
24-09-2020,18981,42467,211,463
25-09-2020,19885,42887,211,469
26-09-2020,20380,43329,211,470
27-09-2020,20724,43792,211,471
28-09-2020,20983,44278,234,473
29-09-2020,21401,44747,239,479
30-09-2020,21846,45276,247,479
01-10-2020,22218,45870,256,494
02-10-2020,22694,46647,264,494
03-10-2020,23134,47070,271,498
04-10-2020,23550,47475,274,500
05-10-2020,23862,47910,277,503
06-10-2020,24364,48401,280,507
07-10-2020,24857,49007,304,507
08-10-2020,25384,49673,310,514
09-10-2020,26039,49673,321,514
10-10-2020,26627,50731,336,519
11-10-2020,27264,51972,339,519
12-10-2020,27736,52437,345,522
13-10-2020,28244,53140,357,527
14-10-2020,28947,54077,365,530
15-10-2020,29653,55032,370,535
16-10-2020,30517,56320,388,547
17-10-2020,31261,56931,399,548
18-10-2020,31978,57666,404,548
19-10-2020,32637,58407,408,554
20-10-2020,33666,59002,412,564
21-10-2020,34165,59900,422,574
22-10-2020,35052,60869,431,583
23-10-2020,35939,62081,440,587
24-10-2020,36874,62778,448,596
25-10-2020,37719,63349,456,597
26-10-2020,38236,64031,461,602
27-10-2020,39129,64909,476,618
28-10-2020,39907,66065,488,625
29-10-2020,41130,67656,499,633
30-10-2020,42483,69111,512,642
31-10-2020,43916,70206,524,645
01-11-2020,43916,71137,531,655
02-11-2020,47186,72090,540,656
03-11-2020,48301,73475,556,659
04-11-2020,49838,75265,568,668
05-11-2020,51616,77348,596,673
06-11-2020,53203,80015,613,700
07-11-2020,53203,81714,628,701
08-11-2020,55455,83275,639,701
09-11-2020,55455,84857,644,708
10-11-2020,57383,87032,674,724
11-11-2020,57373,89232,686,724
12-11-2020,59148,91827,697,755
13-11-2020,62866,94151,707,774
14-11-2020,62866,96048,726,778
15-11-2020,64880,97364,735,778
16-11-2020,65937,100783,742,794
17-11-2020,67228,100783,768,794
18-11-2020,67228,105748,785,824
19-11-2020,70010,108366,795,849
20-11-2020,71540,110739,817,893
21-11-2020,72683,112101,834,900
22-11-2020,73399,113109,840,904
23-11-2020,74399,114960,846,924
24-11-2020,75478,114960,882,924
25-11-2020,75478,116716,887,938
26-11-2020,77232,121947,887,975
27-11-2020,77232,123067,887,977
28-11-2020,78656,124314,915,981
29-11-2020,78656,125434,920,981
30-11-2020,78656,127362,927,1016
01-12-2020,80135,127362,954,1016
02-12-2020,81111,131480,966,1120
03-12-2020,81948,133647,977,1156
04-12-2020,81948,135254,989,1184
05-12-2020,82498,137484,1007,1192
06-12-2020,82974,137484,1013,1192
07-12-2020,83323,140027,1022,1231
08-12-2020,83817,141466,1064,1269
09-12-2020,86146,142780,1064,1285
10-12-2020,86707,144629,1064,1316
11-12-2020,87214,145717,1064,1341
12-12-2020,87590,146531,1064,1363
13-12-2020,87870,147672,1064,1372
14-12-2020,88066,148166,1064,1418
15-12-2020,88391,149689,1064,1437
16-12-2020,88685,149688,1064,1437
17-12-2020,89061,150929,1204,1447
18-12-2020,89556,153559,1204,1468
19-12-2020,89786,154228,1204,1473
20-12-2020,90031,155193,1231,1486
21-12-2020,90116,155915,1233,1510
22-12-2020,90453,157121,1238,1520
23-12-2020,90721,158463,1243,1559
24-12-2020,90948,159151,1260,1565
25-12-2020,91222,159952,1264,1555
26-12-2020,91333,160122,1264,1554
27-12-2020,91443,160753,1266,1554
28-12-2020,91533,161616,1270,1580
29-12-2020,91828,162542,1276,1598
30-12-2020,91828,164044,1276,1606
31-12-2020,91828,165546,1276,1650
01-01-2021,92767,166457,1309,1664
02-01-2021,92889,166998,1310,1665
03-01-2021,93039,167735,1310,1668
04-01-2021,93236,168320,1312,1678
05-01-2021,93494,169768,1329,1693
06-01-2021,93832,171197,1334,1702
07-01-2021,94156,172326,1341,1730
08-01-2021,94438,173329,1352,1732
09-01-2021,94551,174328,1352,1736
10-01-2021,94551,174733,1352,1755
11-01-2021,94551,175379,1352,1767
12-01-2021,94960,176383,1355,1784
13-01-2021,95135,177886,1357,1797
14-01-2021,95377,178801,1365,1811
15-01-2021,95598,179581,1373,1823
16-01-2021,95712,179581,1381,1823
17-01-2021,95860,180668,1384,1831
18-01-2021,95931,180873,1384,1836
19-01-2021,96069,180876,1386,1836
20-01-2021,96222,183134,1387,1861
21-01-2021,96370,183958,1399,1863
22-01-2021,96567,184875,1403,1872
23-01-2021,96720,185453,1411,1873
24-01-2021,96817,185747,1411,1872
25-01-2021,96874,186388,1411,1890
26-01-2021,97006,186738,1415,1900
27-01-2021,97160,187411,1415,1909
28-01-2021,97305,188215,1417,1912
29-01-2021,97458,188215,1419,1912
30-01-2021,97562,189186,1422,1913
31-01-2021,97628,189328,1422,1913
01-02-2021,97681,189564,1422,1912
02-02-2021,97798,190051,1422,1921
03-02-2021,97936,190644,1422,1923
04-02-2021,98034,191148,1422,1944
05-02-2021,98095,191668,1426,1950
06-02-2021,98133,192020,1428,1959
07-02-2021,98178,192323,1428,1959
08-02-2021,98206,192430,1428,1968
09-02-2021,98226,192758,1429,1979
10-02-2021,98282,193239,1431,1987
11-02-2021,98387,193604,1431,1990
12-02-2021,98487,194072,1432,2001
13-02-2021,98487,195305,1432,2002
14-02-2021,98487,195514,1432,2002
15-02-2021,98487,195612,1432,2003
16-02-2021,98795,195731,1432,2004
17-02-2021,98912,196055,1432,2017
18-02-2021,99044,196337,1436,2024
19-02-2021,99044,196728,1436,2041
20-02-2021,99236,197038,1438,2046
21-02-2021,99289,197238,1439,2046
22-02-2021,99323,197331,1439,2046
23-02-2021,99424,197679,1440,2049
24-02-2021,99539,198062,1441,2053
25-02-2021,99630,198452,1442,2060
26-02-2021,99719,198737,1443,2073
27-02-2021,99789,199013,1446,2077
28-02-2021,99818,199177,1446,2077
01-03-2021,99860,199255,1446,2077
02-03-2021,99968,199632,1448,2079
03-03-2021,100081,199908,1449,2086
04-03-2021,100191,200266,1449,2087
05-03-2021,100285,200591,1449,2107
06-03-2021,100367,200928,1450,2108
07-03-2021,100400,201314,1450,2108
08-03-2021,100429,201455,1450,2108
09-03-2021,100526,201650,1450,2110
10-03-2021,100625,201951,1453,2120
11-03-2021,100733,202232,1456,2122
12-03-2021,100853,202497,1457,2124
13-03-2021,100946,202784,1459,2127
14-03-2021,100980,202949,1459,2127
15-03-2021,101005,203063,1459,2127
16-03-2021,101153,203380,1460,2128
17-03-2021,101286,203596,1461,2129
18-03-2021,101405,203872,1461,2130
19-03-2021,101518,204126,1462,2134
20-03-2021,101518,204521,1462,2136
21-03-2021,101518,204658,1462,2136
22-03-2021,101518,204837,1462,2136
23-03-2021,101518,205082,1463,2138
24-03-2021,102004,205288,1466,2164
25-03-2021,102201,205574,1467,2173
26-03-2021,102384,205937,1468,2174
27-03-2021,102543,206468,1468,2174
28-03-2021,102590,206693,1468,2174
29-03-2021,102645,206819,1468,2174
30-03-2021,102890,207169,1468,2176
31-03-2021,103106,207577,1468,2179
01-04-2021,103311,209896,1468,2181
02-04-2021,103471,211239,1468,2186
03-04-2021,103588,211239,1468,2186
